Symbol,Name,Current Price,Market Cap (mil),RS Rating,Comp Rating,EPS Rating,SMR Rating,A/D Rating,Quality Score,% Chg 3 Months,% Chg 6 Months,% Chg 12 Months,Sector,ROE
O,Realty Income Corp.,56.66,54237.2,32,43,52,NA,NA,34.15,-5.9,-10.1,-4.1,REAL EST,2.7
SRTA,Strata Critical Medical Inc. Cl A,5.34,476,50,45,27,NA,NA,34.15,-9.2,23.9,-8.4,MEDICAL,-8
APMD,Apnimed Inc.,29,1170.2,65,1,63,NA,NA,34.1,0,0,0,MEDICAL,0
PCAR,Paccar Inc.,116.06,61774.2,51,34,39,NA,NA,34.05,-2.4,1.2,14.4,AUTO,12.9
SPCE,Virgin Galactic Holdings Inc.,3.07,471.5,38,27,64,NA,NA,34.05,-13.8,19,-6.7,AEROSPACE/DEFENSE,-93.6
BIRK,Birkenstock Holding PLC,30.56,5544.8,10,34,90,NA,NA,34,-33.7,-16.6,-33.6,CONSUMER,12.5
BN,Brookfield Corp.,37.51,83139.6,22,38,70,NA,NA,34,-15.6,-4.4,-20.5,FINANCE,2.8
HEINY,Heineken N.V. ADR,40.6,45079,51,37,35,NA,NA,34,-0.1,2.4,4.9,ALCOHL/TOB/THC,10.3
MIR,Mirion Technologies Inc.,15.76,4044.4,19,37,75,NA,NA,34,-15.3,-18.9,-35.9,MACHINE,1.7
PAC,Grupo Aeroportuario del Pacifico S.A.B. de C.V. ADR,202.78,11875.6,20,40,70,NA,NA,34,-20.3,-13,-19.5,REAL EST,42.9
PRVA,Privia Health Group Inc.,19.85,2566.2,24,44,60,NA,NA,34,-16.1,-8.1,-12.2,SOFTWARE,3.3
ANZGY,ANZ Group Holdings Ltd. ADR,26.74,80955.7,70,45,1,NA,NA,33.95,8.1,1.8,23,BANKS,0
BOC,Boston Omaha Corp.,13.52,411.8,56,43,21,NA,NA,33.95,2.9,13.4,0.1,MISC,-2.4
TMUS,T-Mobile US Inc.,168.18,178546.2,22,41,66,NA,NA,33.95,-7.4,-18.6,-29.6,TELECOM,18.2
PPL,PPL Corp.,33.34,25285.5,32,38,57,NA,NA,33.9,-5.8,-12.4,-6.3,UTILITY,8.1
CRVS,Corvus Pharmaceuticals Inc.,12.56,1055.7,74,31,13,NA,NA,33.85,5.5,-10.8,105.2,MEDICAL,-32.6
SEG,Seaport Entertainment Group Inc.,24.14,314.2,55,30,38,NA,NA,33.85,-2.7,12.3,-2.2,LEISURE,-22.9
SR,Spire Inc.,79.23,4749.4,45,36,43,NA,NA,33.85,2.8,-13.3,3.7,UTILITY,8.2
CTEV,Claritev Corp.,30.81,537.7,52,40,29,NA,NA,33.8,4.7,89.3,-44.4,SOFTWARE,0
MLYS,Mineralys Therapeutics Inc.,28.02,2473.6,54,42,24,NA,NA,33.8,13.8,17.2,-29.7,MEDICAL,-36.9
